hour,window_hour,branch,from_bus,to_bus,flow_mw,limit_mw,loading
6334,22,5,Honolulu,Koolaupoko,-11.772862664244172,200.0,0.058864313321220864
6334,22,6,Waianae,Waialua,151.916081382223,200.0,0.7595804069111151
6334,22,7,Waialua,Wahiawa,-4.89110829573616,200.0,0.0244555414786808
6334,22,8,Wahiawa,Ewa-Central,-43.44590620936616,400.0,0.1086147655234154
6334,22,9,Waialua,Koolauloa,144.25407104035716,200.0,0.7212703552017858
6334,22,10,Koolauloa,Koolaupoko,123.99093341036615,200.0,0.6199546670518308
6335,23,1,Kahe,Ewa-West,111.21407371131886,400.0,0.27803518427829715
6335,23,2,Kahe,Waianae,199.2052507536867,200.0,0.9960262537684335
6335,23,3,Ewa-West,Ewa-Central,391.73175341711885,400.0,0.9793293835427971
6335,23,4,Ewa-Central,Honolulu,328.26858905995863,600.0,0.547114315099931
6335,23,5,Honolulu,Koolaupoko,-14.747358659871423,200.0,0.07373679329935712
6335,23,6,Waianae,Waialua,155.2254500865767,200.0,0.7761272504328836
6335,23,7,Waialua,Wahiawa,7.822913244255293,200.0,0.039114566221276466
6335,23,8,Wahiawa,Ewa-Central,-27.441107986644706,400.0,0.06860276996661177
6335,23,9,Waialua,Koolauloa,135.92086747546142,200.0,0.6796043373773071
6335,23,10,Koolauloa,Koolaupoko,117.38725417033142,200.0,0.5869362708516571
6336,24,1,Kahe,Ewa-West,117.2603828068,400.0,0.293150957017
6336,24,2,Kahe,Waianae,192.49561852541765,200.0,0.9624780926270883
6336,24,3,Ewa-West,Ewa-Central,400.0,400.0,1.0
6336,24,4,Ewa-Central,Honolulu,297.0387966561577,600.0,0.4950646610935961
6336,24,5,Honolulu,Koolaupoko,-16.06778707266233,200.0,0.08033893536331166
6336,24,6,Waianae,Waialua,152.35064791547765,200.0,0.7617532395773883
6336,24,7,Waialua,Wahiawa,15.194585120515352,200.0,0.07597292560257676
6336,24,8,Wahiawa,Ewa-Central,-16.99458068808465,400.0,0.04248645172021162
6336,24,9,Waialua,Koolauloa,126.67554054852232,200.0,0.6333777027426116
6336,24,10,Koolauloa,Koolaupoko,109.75797043350232,200.0,0.5487898521675116
